Nome: POSSE
Codigo Estacao: 83332
Latitude: -14.08916666
Longitude: -46.36666666
Altitude: 830.35
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;32;null;null;null;null;9.6;22;334.1;1009.4;920.1;28.8;24;20.2;79.8;null;null;97.3;
2025-02-28;9;null;null;null;null;8.1;11;168.2;1009.6;920.7;30.8;25.4;20.8;65.7;null;null;97.3;
2025-03-31;9;null;null;null;null;7.7;11;114.6;1009.4;920.9;32.7;26.3;21;60.8;null;null;97.3;
2025-04-30;5;null;null;null;null;7.4;10;168.9;1009.3;920.5;30.8;25.4;20.9;70.1;null;null;97.3;
2025-05-31;9;null;null;null;null;4.9;0;0;1013.2;923.5;29.7;23.9;18.8;59.5;null;null;97.3;
2025-06-30;9;null;null;null;null;3.7;0;0;1014;924.1;29.9;23.5;18.1;52.3;null;null;97.4;
2025-07-31;9;null;null;null;null;1.7;0;0;1015.2;925;29.7;23.1;17.2;46.6;null;null;97.3;
2025-08-31;9;null;null;null;null;3.4;0;0;1013.1;923.9;31.6;24.8;18.7;42.4;null;null;97.1;
2025-09-30;9;null;null;null;null;4.4;0;0;1011.5;923;33.3;26.7;20.5;41.6;null;null;97.3;
2025-10-31;9;null;null;null;null;5.6;3;18;1010;921.6;33.1;26.6;20.8;48.5;null;null;97.2;
2025-11-30;9;null;null;null;null;8.4;14;130.2;1008.8;920.1;31.4;25.7;21.3;67;null;null;97.3;
2025-12-31;32;null;null;null;null;8.8;18;289.7;1008.9;919.8;30.2;24.7;20.2;74.7;null;null;97.3;

