Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.7761111
Longitude: -56.07194443
Altitude: 207
Situacao: Fechada
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;32;null;null;null;null;8.8;11;null;993.6;null;null;23.2;null;1.5;.6;96.9;null;
2025-02-28;null;null;null;null;null;null;12;null;995.1;null;null;22.5;null;1;.5;97.1;null;
2025-03-31;32;null;null;null;null;7.2;12;220.3;995.4;32.7;26.8;22.7;83.8;1.5;.5;96.4;null;
2025-04-30;32;null;null;null;144.7;7.9;13;135;995;31.8;26.2;22.5;87.1;2.1;.5;96.2;null;
2025-05-31;0;null;null;null;218.4;5.7;3;35.2;997.6;32.2;24.4;19.4;81.7;1.5;.4;96.5;null;
2025-06-30;0;null;null;null;185.7;5.3;1;75.9;998.4;30.8;23;17.5;80.8;1.5;.4;96.5;null;
2025-07-31;0;null;null;null;241.5;2.2;0;0;1000.3;31.1;20.8;13.3;77;1.5;.3;96.8;null;
2025-08-31;0;null;null;null;255.6;3.7;3;5.6;998.3;33.2;23.5;15.3;66.4;1.5;.4;96.9;null;
2025-09-30;0;null;null;null;205.3;5.7;2;1.9;995.1;37.4;28.5;21.3;60.9;1.5;.5;97.1;null;
2025-10-31;14;null;null;null;null;6.6;6;144.7;994.9;34.9;28.1;22.4;67.4;1.5;.7;96.9;null;
2025-11-30;0;null;null;null;138.9;7.2;8;46.8;993.3;35;27.6;22.4;72.5;1.5;.5;96.9;null;
2025-12-31;0;null;null;null;null;8.3;15;283.2;992.7;32.9;27.1;23;82.1;1.5;.3;96.6;null;

