Nome: PIRENOPOLIS
Codigo Estacao: 83376
Latitude: -15.85472222
Longitude: -48.96611111
Altitude: 766.92
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;32;null;null;null;119.6;8.4;20;280.3;926.4;30.9;24.6;20.6;78.8;6.2;1.8;97.5;null;
2025-02-28;5;null;null;null;135.8;7.7;18;226.5;927.2;31.7;24.4;19.3;74.4;4.1;1.8;97.9;null;
2025-03-31;5;null;null;null;170.3;7.4;14;95.3;927.5;32.7;25.2;20.2;71.9;6.2;2.1;98;null;
2025-04-30;27;null;null;null;176.6;7.2;15;135.2;927.2;32.1;24.7;20;76.5;6.2;1.8;97.9;null;
2025-05-31;5;null;null;null;220;4.7;2;12;930;31;23;17.7;65.4;8.2;2.8;98;null;
2025-06-30;5;null;null;null;215.1;4.5;1;.7;930.6;31.1;22;15.9;61.1;7.2;2.3;98;null;
2025-07-31;5;null;null;null;233.1;3.3;0;0;931.7;31.3;21.4;14.5;51.5;7.2;2.3;97.9;null;
2025-08-31;9;null;null;null;228.8;4.5;0;0;930;33.7;23.5;16.3;40;6.2;2.2;97.9;null;
2025-09-30;5;null;null;null;209.2;5.8;4;16.6;928.9;35.2;26.3;19.6;42;8.2;2.7;97.5;null;
2025-10-31;5;null;null;null;228;6.4;5;66;927.4;35;26.7;20.4;48.3;7.2;2.5;97.5;null;
2025-11-30;32;null;null;null;193.5;7.5;11;179.3;926.2;33.3;25.9;19.9;66.6;5.1;2.1;97.9;null;
2025-12-31;27;null;null;null;108.1;8.4;20;179.9;926.1;31;24.7;20.3;75.4;5.1;1.8;97.9;null;

