Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;0;null;null;null;159.1;7.1;20;262.4;1009.6;885.6;27.4;22.1;18.8;78.6;7.2;1.6;97.3;
2025-02-28;5;138;null;null;214.5;5.7;12;119.2;1009.5;886;28.4;23;18.4;65.5;9;2.2;67.7;
2025-03-31;5;143;null;null;203.8;5.8;12;136.4;1010.3;886.9;28.6;22.9;18.8;69.3;7.2;1.6;67.1;
2025-04-30;0;94;null;null;189.8;5.7;16;89;1010.1;886.5;27.7;22.4;18.9;76.3;5;1.4;66.4;
2025-05-31;14;128.2;null;null;250.1;3.9;2;1.9;1014.7;889.4;25.8;20.2;15.7;68.1;7;2.4;70.8;
2025-06-30;14;143.3;null;null;236.7;3.7;0;0;1015.4;889.8;25.9;19.7;14.5;60.4;5;2.2;68.7;
2025-07-31;14;200.1;null;null;271.9;3.1;0;0;1017.1;891;25.9;19.3;13;49.5;7;2.1;69.4;
2025-08-31;14;286.4;null;null;290.5;3;0;0;1014.3;889.7;28.3;21.3;14.8;38.8;7;2.2;70;
2025-09-30;5;270.9;null;null;220.4;4.3;3;11.6;1012.6;889.1;29.6;23.3;17.7;42;7;2.3;66.2;
2025-10-31;5;252.8;null;null;232.7;5;5;111.6;1010.5;887.4;28.9;23.3;18.4;50;7;2.4;66.8;
2025-11-30;14;null;null;null;null;6.5;10;null;1009.3;886.1;28.2;22.8;18.4;68.6;5;2;65.8;
2025-12-31;0;80.1;null;null;127.1;6.9;15;161.5;1009.5;885.6;26.8;22.1;18.4;75.6;7;1.9;63.4;

