Nome: FORMOSA
Codigo Estacao: 83379
Latitude: -15.54916666
Longitude: -47.33888888
Altitude: 938.68
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;0;null;null;null;152.7;7.9;23;384.4;909.6;28.5;23.6;20.1;79.2;2.6;.6;97.5;null;
2025-02-28;0;null;null;null;222.9;6.2;11;89.3;910.5;30.2;24.6;20.3;64.3;2.6;.8;97.5;null;
2025-03-31;0;null;null;null;209.9;5.9;10;131.5;911.1;30.7;24.8;20.6;65.1;2.6;.7;97.5;null;
2025-04-30;0;null;null;null;193.5;6.1;9;44;910.7;29.7;24.2;20.5;72.7;2.6;.6;97.5;null;
2025-05-31;14;null;null;null;260;4.3;2;7.4;913.6;27.4;21.8;17.2;65.5;4.6;.9;97.5;null;
2025-06-30;0;null;null;null;266.8;4.2;0;0;914;28;21.5;16;57.1;3.1;.8;97.5;null;
2025-07-31;0;null;null;null;285.4;3.1;0;0;915;27.7;20.9;14.8;47.7;2.6;.7;97.4;null;
2025-08-31;14;null;null;null;297.1;3.1;0;0;913.8;29.7;22.7;16.3;39.3;3.1;1;97.4;null;
2025-09-30;0;null;null;null;239.6;3.9;5;20.2;913;31.7;24.9;19.3;42.8;3.6;.9;97.3;null;
2025-10-31;0;null;null;null;251.4;5.5;5;53.1;911.5;31.6;25.3;20.2;47.2;3.6;1.1;97.5;null;
2025-11-30;0;null;null;null;178.1;6.8;12;206.2;909.7;30.7;24.8;20.5;65.4;2.6;.8;97.5;null;
2025-12-31;0;null;null;null;148.4;7;21;333.1;909.4;28.5;23.5;19.9;75.7;3.6;.7;97.4;null;

