Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;0;null;null;null;null;8.2;20;466.7;1009.1;928.7;31.5;25.3;21;73.2;2.6;.9;96.7;
2025-02-28;0;null;null;null;null;8.2;20;269.7;1010.2;929.8;32.6;25.6;20.6;69.2;3.1;.9;96.6;
2025-03-31;0;null;null;null;null;7;15;97;1010.2;930.3;33.4;26.7;21.4;64.7;3.1;.9;96.7;
2025-04-30;0;null;null;null;null;6.4;11;118.4;1010.2;930;32.3;25.8;20.9;69.9;4.1;.8;96.9;
2025-05-31;0;null;null;null;null;4.4;1;8.2;1014.1;933.1;31.1;24.4;18.4;59.8;3.1;1.1;96.7;
2025-06-30;0;null;null;null;null;4.9;1;6.1;1014.8;933.6;31.5;23.9;17.6;53.5;2.6;.8;96.4;
2025-07-31;0;null;null;null;null;3.5;0;0;1016.4;934.9;31.6;23.2;15.8;47.3;2.6;.7;96.1;
2025-08-31;0;null;null;null;null;4;0;0;1014;933.3;34.1;25.2;17.7;36.8;3.6;.9;95.8;
2025-09-30;0;null;null;null;null;5;5;101.3;1011.8;932.1;35.4;27.7;21;39.6;3.1;1.1;95.7;
2025-10-31;0;null;null;null;null;6.5;4;22.5;1009.9;930.5;35.1;27.9;21.9;45.6;3.1;1.1;95.7;
2025-11-30;0;null;null;null;null;7.2;13;216.4;1008.6;929;33.8;26.9;21.5;60.3;2.6;1;95.8;
2025-12-31;0;null;null;null;null;8.2;24;229.2;1009.1;928.9;31.4;25.3;20.8;71.5;2.6;1;96.2;

