Nome: JATAI
Codigo Estacao: 83464
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 669.84
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;0;null;null;null;181.9;6.8;17;139;936.4;31.8;25.1;21.1;75.4;4.6;1.4;97;null;
2025-02-28;0;null;null;null;130.3;7.5;22;238.6;937.9;31.6;24.4;20.4;78.2;4.6;1;97;null;
2025-03-31;0;null;null;null;207.1;5.7;11;109.2;938.5;32.6;25.2;20.3;71.2;3.6;1;97;null;
2025-04-30;0;null;null;null;199.1;6;15;90.6;938.3;30.9;24.2;20.2;78.3;3.6;1;97;null;
2025-05-31;0;null;null;null;244.1;3.2;4;36.3;941.3;29.4;21.1;15.2;73.7;3.6;.8;97;null;
2025-06-30;0;null;null;null;226.1;3.8;3;17.2;941.6;29.7;20.2;13.6;70.3;3.6;.8;97;null;
2025-07-31;0;null;null;null;251.8;2.9;1;.5;944;29.3;19.1;11.3;null;3.1;.7;96.4;null;
2025-08-31;0;null;null;null;259.6;2.4;1;4.6;942.1;32.6;21.7;12.5;null;4.1;.6;96.7;null;
2025-09-30;0;null;null;null;234.8;3.3;5;31.3;940.5;36;26.2;17.7;null;3.6;.6;96.5;null;
2025-10-31;0;null;null;null;189.5;6.2;12;55.6;939.2;34.3;25.7;19.8;null;3.1;.6;96.5;null;
2025-11-30;0;null;null;null;205.7;5.2;13;230.2;937.5;33.1;25.4;19.7;null;1;.6;96.5;null;
2025-12-31;0;null;null;null;144.7;6.8;26;189.8;936.7;30.4;24.8;21.1;null;1.5;.5;96.5;null;

