Nome: CATALAO
Codigo Estacao: 83526
Latitude: -18.17027777
Longitude: -47.95805555
Altitude: 857.98
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;0;null;null;null;null;7;22;393.3;917.4;31.5;24.8;20.6;77.2;3.1;.7;97.7;null;
2025-02-28;5;null;null;null;null;5.9;8;107.3;918.9;33.3;26;21;65.6;4.6;.9;97.7;null;
2025-03-31;5;null;null;null;null;5.1;9;108.8;919.4;34.2;26.2;20.9;63;3.1;1;97.7;null;
2025-04-30;0;null;null;null;null;6;11;127.4;918.9;32;25.1;20.4;72.3;3.1;.8;97.7;null;
2025-05-31;5;null;null;null;null;3.5;0;0;922.2;30.4;22.4;17.3;64.3;3.1;1;97.7;null;
2025-06-30;5;null;null;null;null;3.6;2;6.7;922.5;30.3;21.5;16.7;61.2;3.1;.9;97.7;null;
2025-07-31;0;null;null;null;null;3;0;0;923.7;30.5;21.3;16.2;52.3;2.6;.7;97.7;null;
2025-08-31;5;null;null;null;null;2.7;2;.3;922.2;32.9;23.5;17.5;41.7;3.1;1.1;96.7;null;
2025-09-30;5;null;null;null;null;3.3;4;36.4;921;35.6;26.1;20;43.1;3.6;1.3;97.7;null;
2025-10-31;5;null;null;null;null;5.6;8;56.1;919.7;34.4;26.2;20.7;49.8;4.6;1.3;97.7;null;
2025-11-30;0;null;null;null;null;5.8;11;163;917.6;34.1;26;20.4;60.4;3.6;.9;97.7;null;
2025-12-31;32;null;null;null;null;6.7;14;250.6;917.1;33;25.6;21.1;71.2;3.1;1;97.7;null;

